,DATEPRD,ON_STREAM_HRS,AVG_DP_TUBING,AVG_CHOKE_SIZE_P,AVG_WHP_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_WAT_VOL,Total Injection
89,2008-05-12,24.0,176.444,36.16034,87.644,54.964,4002.0,8.0,7383.167785234899
90,2008-05-13,24.0,178.22,37.29413,85.868,53.009,4253.0,8.0,7391.892617449665
91,2008-05-14,24.0,178.342,38.21142,85.746,52.887,4280.0,8.0,7397.61744966443
92,2008-05-15,24.0,179.661,39.27145,84.427,51.215,4440.0,9.0,8201.342281879195
93,2008-05-16,24.0,180.64,40.14758,83.448,49.36,4583.0,9.0,8310.06711409396
94,2008-05-17,24.0,181.259,40.7275,82.829,48.653,4677.0,9.0,8418.791946308726
95,2008-05-18,24.0,181.248,40.74857,82.84,49.25,4689.0,9.0,8427.51677852349
96,2008-05-19,24.0,181.16,40.7554,82.928,49.683,4688.0,9.0,8436.241610738256
97,2008-05-20,24.0,216.382,42.15901,81.264,47.851,4886.0,9.0,8444.96644295302
98,2008-05-21,24.0,177.029,43.10056,80.171,46.695,5013.0,10.0,8453.691275167785
99,2008-05-22,24.0,177.926,43.12246,80.22,46.744,5018.0,8.0,8032.416107382551
100,2008-05-23,24.0,178.13,43.09233,80.202,46.719,5019.0,20.0,7329.140939597315
101,2008-05-24,24.0,178.167,43.19541,80.173,46.689,5034.0,8020.0,7433.86577181208
102,2008-05-25,24.0,178.293,43.33968,80.017,46.525,5046.0,8020.0,8198.590604026846
103,2008-05-26,24.0,178.355,43.38664,79.961,46.463,5053.0,20.0,8421.31543624161
104,2008-05-27,24.0,178.005,43.46183,79.97,46.466,5066.0,30.0,8286.040268456376
105,2008-05-28,24.0,178.263,43.48607,80.16,46.664,5072.0,10.0,8294.76510067114
106,2008-05-29,24.0,178.257,43.56119,80.2,46.702,5086.0,10.0,8415.489932885906
107,2008-05-30,20.19,177.323,40.12258,83.323,50.01,3869.0,7.0,6992.214765100671
108,2008-05-31,0.0,279.665,0.0,1.347,2.335,0.0,0.0,6514.272930648769
109,2008-06-01,0.5,188.029,16.82769,91.39,72.697,23.0,0.0,6036.331096196868
110,2008-06-02,13.42,178.497,42.49382,81.298,47.883,4020.0,8.0,5558.3892617449665
111,2008-06-03,24.0,259.087,43.22176,0.0,33.465,5000.0,10.0,4847.114093959732
112,2008-06-04,24.0,257.434,43.42171,1.03,32.43,5067.0,10.0,8400.838926174496
113,2008-06-05,24.0,191.395,43.41881,67.027,33.538,5040.0,10.0,8584.563758389262
114,2008-06-06,24.0,178.214,43.39667,80.303,46.818,5058.0,10.0,8593.288590604026
115,2008-06-07,24.0,178.426,43.33411,80.208,46.699,5058.0,185.0,8602.013422818793
116,2008-06-08,24.0,178.497,43.39009,80.153,46.638,5070.0,10.0,8610.738255033557
117,2008-06-09,24.0,178.449,43.40013,80.258,46.742,5081.0,15.0,8619.463087248321
118,2008-06-10,24.0,178.567,43.40572,80.192,46.666,5082.0,10.0,6813.187919463087
119,2008-06-11,24.0,178.37,43.44772,79.948,46.423,5087.0,10.0,4735.912751677853
120,2008-06-12,24.0,177.81,43.46068,79.4,45.892,5060.0,10.0,2658.6375838926174
